letter;black weight;normal black weight;weight center x;weight center y;normal weight center x;normal weight center y;inert axis x;inert axis y;normal inert axis x;normal inert axis y
A;2217.710;0.887;23.474;23.614;0.459;0.462;486935.374;474226.106;97.387;94.845
B;2059.643;0.824;23.388;23.613;0.457;0.461;477286.863;458195.681;95.457;91.639
C;2228.871;0.892;24.006;24.494;0.470;0.479;498035.563;479086.945;99.607;95.817
D;2080.475;0.832;23.510;23.335;0.459;0.456;455988.582;460168.478;91.198;92.034
E;2177.302;0.871;23.745;24.378;0.464;0.477;502468.220;469017.196;100.494;93.803
F;2226.345;0.891;24.159;24.665;0.473;0.483;509705.484;487291.329;101.941;97.458
G;2128.796;0.852;23.444;23.674;0.458;0.463;466455.768;461344.809;93.291;92.269
H;2077.639;0.831;23.483;23.343;0.459;0.456;459034.202;460844.705;91.807;92.169
I;2304.745;0.922;24.077;24.190;0.471;0.473;516839.684;491798.141;103.368;98.360
J;2295.118;0.918;23.996;23.959;0.469;0.469;509863.179;488230.737;101.973;97.646
K;2096.714;0.839;23.267;23.959;0.454;0.469;487240.333;453232.904;97.448;90.647
L;2258.392;0.903;23.683;24.688;0.463;0.483;509680.888;473065.105;101.936;94.613
M;2083.157;0.833;23.469;23.011;0.459;0.449;436951.379;467312.300;87.390;93.462
N;2152.737;0.861;23.837;23.618;0.466;0.462;474153.798;479244.034;94.831;95.849
O;2115.031;0.846;23.581;23.484;0.461;0.459;455668.302;468860.781;91.134;93.772
P;2181.137;0.872;24.165;24.461;0.473;0.479;505261.799;487508.745;101.052;97.502
Q;2108.745;0.843;23.501;23.441;0.459;0.458;455690.548;463201.144;91.138;92.640
R;2090.588;0.836;23.508;23.970;0.459;0.469;491646.471;462868.366;98.329;92.574
S;2188.631;0.875;23.752;24.288;0.464;0.475;505143.982;475555.734;101.029;95.111
T;2249.129;0.900;24.309;24.168;0.476;0.473;509750.281;486848.066;101.950;97.370
U;2202.239;0.881;23.864;24.082;0.467;0.471;485373.330;475533.591;97.075;95.107
V;2237.475;0.895;24.250;23.981;0.474;0.469;497413.105;493122.811;99.483;98.625
W;2035.929;0.814;23.777;23.775;0.465;0.465;460768.063;472244.280;92.154;94.449
X;2151.118;0.860;23.702;23.526;0.463;0.460;481770.066;465416.455;96.354;93.083
Y;2225.859;0.890;24.230;23.957;0.474;0.469;500332.789;487730.966;100.067;97.546
Z;2193.012;0.877;23.737;24.153;0.464;0.473;501351.294;465745.130;100.270;93.149
